State,Year,CO2/Wh
FL,2022,0.0008922055381212394
GA,2022,0.0009863314947963922
HI,2022,0.0019374903072158186
ID,2022,0.0012727789931702962
IL,2022,0.0009917313191399769
IN,2022,0.0016642349112177244
IA,2022,0.000979485004889629
KS,2022,0.0009991835769594434
KY,2022,0.001585034623027504
LA,2022,0.0018176374087787738
ME,2022,0.0011704987925445906
MD,2022,0.0013614850466651944
MA,2022,0.002815702252331303
MI,2022,0.0013103681185509506
MN,2022,0.0014315381703882892
MS,2022,0.0009599654213746625
MO,2022,0.001422277859648527
MT,2022,0.0010889725650991965
NE,2022,0.0011812012616824186
NV,2022,0.0009482386206058801
NH,2022,0.0007355180679371035
NJ,2022,0.0014220158638329004
NM,2022,0.0011360740289889208
NY,2022,0.0013265308052193036
NC,2022,0.0008685500423878783
ND,2022,0.0012843504963108616
OH,2022,0.001444615078567399
OK,2022,0.0010289485470912866
OR,2022,0.0006133644207450723
PA,2022,0.000892376009813788
RI,2022,0.0013008492081541393
SC,2022,0.0006817172753526503
SD,2022,0.0008735584299140794
TN,2022,0.0011675873007103705
TX,2022,0.0012615061535019183
UT,2022,0.0015246742231183154
VT,2022,0.002521114929694381
VA,2022,0.001075512061124682
WA,2022,0.0006401711775992918
WV,2022,0.0013973208359002814
WI,2022,0.0014793087373761095
WY,2022,0.0012122156952224777
